A,Code,Name,City,Country,LA1,LA2,LA3,LA4,LO1,LO2,LO3,LO4,Alt,Lat,Long
UAOO,0000,0000,KZYL-ORDA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UARR,URA,URALSK,URALSK,RUSSIA,051,009,006,N,051,032,044,E,00039,51.152,51.546
UASP,PWQ,0000,PAVLODAR,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UASS,PLX,SEMIPALATINSK,SEMIPLATINSK,RUSSIA,050,021,004,N,080,014,003,E,00232,50.351,80.234
UATA,0000,0000,ARALSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UATE,0000,AKTAU,SHEVCHENKO,RUSSIA,043,051,036,N,051,005,031,E,00023,43.860,51.092
UATR,0000,0000,CHELKAR,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UATT,AKX,AKTYUBINSK,AKTYUBINSK,RUSSIA,050,014,042,N,057,012,012,E,00225,50.245,57.203
UAUR,0000,0000,ARKALYK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UAUU,KTQ,KOSTANAY,KUSTANAY,RUSSIA,053,012,023,N,063,033,003,E,00182,53.206,63.551
UBBB,BAK,BINA,BAKU,RUSSIA,040,028,003,N,050,002,048,E,00004,40.468,50.047
UEBN,0000,0000,NIZHNE-YANSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UEEA,ADH,ADA MUNI,ALDAN,RUSSIA,034,048,015,N,096,040,016,W,00310,34.804,-96.671
UEEE,YKS,YAKUTSK,YAKUTSK,RUSSIA,062,005,035,N,129,046,014,E,00100,62.093,129.771
UEMH,0000,0000,TYOPLY KLUCH,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UEMM,0000,0000,MAGDAGACHI,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UEMO,0000,0000,OLEKMINSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UENO,0000,0000,NURBA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UERL,0000,0000,LENSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UERP,0000,POLYARNY,POLYARNY,RUSSIA,066,025,000,N,112,003,000,E,00510,66.417,112.050
UERR,MJZ,0000,MIRNYJ,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UERS,0000,0000,SASKYLAKH,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UERT,0000,0000,VITIM,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UESO,0000,0000,CHOKURDAKH,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UESS,0000,0000,CHERSKY,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UGEE,EVN,ZVARTNOTS,YEREVAN,RUSSIA,040,008,054,N,044,023,048,E,00866,40.148,44.397
UGGG,TBS,LOCHINI,TBILISI,GEORGIA,041,040,009,N,044,057,017,E,00495,41.669,44.955
UGGN,0000,0000,TSNORI,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UGMM,0000,0000,MUKHRANI,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UGSS,SUI,SUKHUMI DRANDA,SUKHUMI,GEORGIA,042,051,029,N,041,007,041,E,00017,42.858,41.128
UHBA,0000,0000,ARKHARA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHBB,BQS,IGNATYEVO,BLAGOVESCHENSK,RUSSIA,050,025,018,N,127,024,036,E,00196,50.422,127.410
UHBP,0000,0000,EKIMCHAM,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHHD,0000,0000,DALNERECHENSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHHH,KHV,NOVY,KHABAROVSK,RUSSIA,048,031,040,N,135,011,018,E,00075,48.528,135.188
UHHO,0000,0000,TROITSKOYE,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHMA,0000,UGOLNY,ANADYR,RUSSIA,064,044,005,N,177,044,029,E,00061,64.735,177.741
